Date,Open,High,Low,Close,Adj Close,Volume
19891221,213.235001,216.365005,213.235001,216.229996,216.229996,328560000
19891222,216.229996,219.210007,216.229996,217.625000,217.625000,220460000
19891226,217.625000,218.714996,217.190002,217.615005,217.615005,148980000
19891227,217.615005,221.574997,217.615005,221.574997,221.574997,230620000
19891228,221.574997,221.684998,220.360001,221.580002,221.580002,257940000
19891229,221.580002,223.860001,221.550003,223.835007,223.835007,328220000
19900102,223.835007,227.725006,220.434998,227.725006,227.725006,221440000
19900103,227.725006,228.940002,226.100006,226.100006,226.100006,305320000
19900104,226.100006,226.175003,222.710007,224.714996,224.714996,295900000
19900105,224.714996,224.794998,222.889999,223.139999,223.139999,274460000
19900108,223.139999,223.580002,221.639999,223.539993,223.539993,231000000
19900109,223.539993,224.330002,221.080002,221.179993,221.179993,266260000
19900110,221.179993,221.179993,216.464996,216.554993,216.554993,287780000
19900111,216.554993,218.220001,213.505005,213.505005,213.505005,266000000
19900112,213.505005,213.505005,208.404999,208.794998,208.794998,287000000
19900115,208.794998,209.335007,207.289993,207.615005,207.615005,216120000
19900116,207.615005,212.000000,204.759995,211.914993,211.914993,295180000
19900117,211.914993,213.899994,210.449997,210.604996,210.604996,278300000
19900118,210.604996,210.625000,208.309998,210.570007,210.570007,272660000
19900119,210.570007,214.889999,210.570007,213.910004,213.910004,304340000
19900122,213.910004,213.910004,207.884995,208.059998,208.059998,260980000
19900123,208.059998,209.985001,206.074997,207.479996,207.479996,282880000
19900124,207.479996,209.750000,205.750000,206.744995,206.744995,326860000
19900125,206.744995,209.830002,205.470001,205.774994,205.774994,261000000
19900126,205.774994,206.750000,201.240005,203.244995,203.244995,272680000
19900129,203.244995,204.815002,200.119995,202.054993,202.054993,237180000
19900130,202.054993,202.054993,196.684998,197.654999,197.654999,320320000
19900131,197.654999,201.964996,197.654999,201.940002,201.940002,296000000
19900201,201.940002,203.044998,200.524994,203.044998,203.044998,270940000
19900202,203.044998,206.755005,202.690002,205.615005,205.615005,270040000
19900205,205.615005,206.835007,205.070007,206.490005,206.490005,216700000
19900206,206.490005,206.714996,203.774994,205.074997,205.074997,239400000
19900207,205.074997,207.199997,202.910004,206.804993,206.804993,298600000
19900208,206.804993,209.580002,206.804993,207.244995,207.244995,280060000
19900209,207.244995,208.744995,206.919998,208.494995,208.494995,250660000
19900212,208.494995,208.520004,205.945007,206.880005,206.880005,226060000
19900213,206.880005,207.994995,205.345001,207.199997,207.199997,254460000
19900214,207.199997,208.535004,206.985001,208.059998,208.059998,279080000
19900215,208.059998,210.104996,206.869995,209.929993,209.929993,304760000
19900216,209.929993,210.434998,208.309998,208.354996,208.354996,240440000
19900220,208.354996,208.354996,203.345001,205.065002,205.065002,216560000
19900221,205.065002,205.440002,201.820007,204.750000,204.750000,240200000
19900222,204.750000,206.854996,203.975006,204.190002,204.190002,269740000
19900223,204.190002,204.190002,200.404999,201.794998,201.794998,234440000
